g1,q1,r1,g2,q2,r2,g3,q3,r3,g4,q4,r4,g5,q5,r5,g6,q6,r6,g7,q7,r7,g8,q8,r8,g9,q9,r9,g10,q10,r10,g11,q11,r11,g12,q12,r12
W,Do you have any pics from that concert you mention?,"I don't have any, but if you search on google it should be easy to find.",M,Do you know self defense law (honestly)?,What is that?,W,"Should we throw that out since its been used by some to do harm, or should we celebrate the love involved and crack down on individual cases of oppression?",I think you mean celebrate the love involved and crack down on individual cases of oppression.,W,Did you read the OP at all?,I did. But I also didn't know what the post was about.,W,Did we get rid of THAT dog though?,Yes. It was a stray.,W,Is your relationship with your family one of your main values?,Not really. The family is pretty close but I don't think it's very important.,W,Did you even read the website?,"It's a joke, I know you are joking, I'm just saying it's a bad idea.",M,Do you need to ally yourself with a group that could cause later blowback?,It's a hypothetical.,W,Did you know fast food drive thrus are on a timer?,Did you know that the sun rises in the east?,M,do you think kobe is considered a good guy yet?,I don't think so. I think Kobe is just a good man. He's just a great guy. He's just not a good player.,M,Didnt you just say that Tywin couldnt be completely sure Tyrion wasnt his son?,I think he's referring to the fact that he's not certain about the legitimacy of Tyrion.,M,Are you talking about bullet trains?,Yes! Bullet trains.
M,Do I think Michigan wins ultimately?,"It's a toss up, but I have a feeling that Michigan will win it.",W,Did I have hallucinations that night due to fatigue and hunger?,"No, no hallucinations, just the general feeling of being tired.",W,Do you have any data from NZ that shows the percentage of women with children who work?,Not really. I just know that the average income is a bit less than the national average.,M,Do you have guaranteed free speech as long as you dont slander/libel/cause a riot?,"No, but he does have guaranteed free speech as long as he doesn't slander thereafter!",W,"Do you have an emergency fund that will cover the cost of deductibles if youre in an accident, your house is damaged in a storm, or your car is totaled?",It's a car. It's insured.,M,Didnt you hear what Norbert Haug & co. say?,What did he say?,W,Does New York have regional competitions as well?,We do!,M,Do you know a guide or article on how emulators such as RPCS3 work?,"There is not any guide yet. There are guides but they are very old, and not really reliable.",W,Are you seeing any non-verbal language in the comics?,"Not really. I'm just reading and listening, but I'm not sure if there's any nonverbal language.",W,Are you sure you didnt have any ulterior motive?,I'm not a criminal.,W,Do you by chance need really intense physical stimulation to orgasm?,No I have my own.,W,"Do you take many breaks, to add some rhythm to your day?",I take breaks from work every day! I'm currently at work right now but will be home in about 3 hours.
W,Are you still at home with parents?,Yes. I have been at home with them for about 3 and a half months now.,W,Are you planning on never drinking ever?,I don't want to drink with you.,M,Isnt that more true to the character?,"Yes, but in the context of the story they're not really the same person.",M,Do you want to lose your excess fat first or do you want to gain some muscle first?,I want to start with muscle. I want to start with muscle.,M,Did you even read the whole article?,Did you even read the article?,M,Are you getting yellow on the 3DS?,"Yes. It's a bit annoying, but the blue screen is annoying and it's the only way I can use the game for now, so I can't really complain.",W,Are you prepared to cut some of your classes and the majority of your social life?,I don't think I'll be able to handle the stress of being an adult in that environment. I have a lot to learn and I'm not ready.,W,Do you have any articles/ experiences/ stories/ resources that could help me learn more about the way that different cultures deal with death?,"I'm not sure, but I'm going to guess no.",M,Did I mention how Rank 22 for the Artifact Weapon costs 64.000 points?,"You have to spend more than 1 point to unlock the Artifact Weapon, so you have to spend more than 64.000 points to unlock it.",M,Didnt bobby Petrino hire his slam piece at Arkansas?,"He did hire his brother, who is a good friend of mine, as a defensive coordinator.",M,Is my build ready to go?,I am not seeing the update.,W,Doesnt that kind of mean the dogs baseline personality isnt wonderful?,I'm pretty sure that is what it means
M,Do Belgium have a RB thats even close to Meuniers level?,"I don't know, but I think he's pretty much the best RB in the world.",W,Do you grow the aloe yourself too?,Nope. We buy it.,M,Do you know a guide or article on how emulators such as RPCS3 work?,I think he was trying to make a joke.,M,Do you think that a football team uses more people through the course of a season than a baseball team?,I would think the NFL uses about as much as they do,M,Do you even remember what the Xbox 360 launch looked like?,"I do, and I don't remember that.",M,Are you trying to say gun suicides are not gun deaths?,I think it was a play on words of the title.,M,Did you read my entire post or just the first word?,I didn't notice that. Oops.,W,Does your list have a set schedule to help curb that sense of being overwhelmed?,"I don't know how I'd go about that, I'll have to look into it.",W,Did I think of my boyfriend every time?,I think that's what I've been doing all along.,W,Do I have too much faith in teenage boys morality?,I've never seen a teenager with any more morals than I have.,W,Is having an opinion an exclusive left wing privilege?,I think it's more an exclusive right wing privilege.,M,Do you know why we dont report on protests often?,"We're not protesting, we're protesting a political rally that's being held at the same time."
W,Do you really think that every single woman is weaker than every single man?,I think you're misunderstanding.,M,Are you going to claim that every single one of those documents contained evidence of evil and unprincipled actions?,No. I am not a lawyer.,M,Does that mean I hate them?,"No, it means you love them. It's like a love hate relationship.",W,Do you have to take classes with him?,"I don't know, I don't know him.",W,Are your siblings older or younger?,I'm the eldest of four,W,Did you move to a smaller city post-grad?,Yes. I'm moving to San Jose next year.,M,Did you really think that NATO/EU expansionism up to Russian borders would occur without some civilians dying?,"The Ukrainians have been fighting with Russia for years, it's only a matter of time.",M,Do you know how Hogan would continue to pay for these expensive fucking medical procedures - especially after losing 70% of his estate in a divorce and paying 24/7 life support for the kid his son vegetabled?,I'm pretty sure Hogan would have paid for it himself. He was a huge fan of the kid and wanted them to be happy.,W,Isnt the condition not persistent after transition though?,Not if the code is written in the same language.,W,"Are we supposed to magically know that youre different, even though youre exhibiting the same behavior?","No, but you can't expect people to do the same.",W,Do special rooms in a hotel operate differently?,"Yes, you get a room.",M,Do you need to ally yourself with a group that could cause later blowback?,"No, I think you are thinking of a different alliance, which is what the OP is talking about."
M,Do the Lions still bring in Marvin Jones Jr. with Calvin Johnson still on the team?,"I believe so, yes.",M,Do you think that a football team uses more people through the course of a season than a baseball team?,"No, but the average person spends a lot of money on a sports team.",M,Do you know what would happen if we went to war with Russia?,I do not. I've not been involved.,W,Are you on your period or something?,"No, just a bit on the fence, lol.",M,Did I mention how Rank 22 for the Artifact Weapon costs 64.000 points?,I'm not sure what you're saying...,W,Do you want to come over and make out on my couch?,"I'm sorry, I was not able to make it.",W,Do you have PTSD *because* of your relationship with your boyfriend?,No but I do have PTSD...,W,Do you feel you speak for most people in prison?,I've never been in prison. I don't feel like I speak for most people.,M,Do you think that Bitcoin is just an experiment?,It's a game.,M,Do you not realize how biased that sounds?,"You're right, I'm biased.",W,Did you honestly just equate having more females in movies to having shittier movies?,"He's not saying they are bad, just that they are not as good. That's what I was going for.",M,Do you just not fucking understand how news and journalism works?,I do understand the rules and rules of journalism. But I don't understand the rules of how to use them.
M,"Is atheism an expression against religion itself, to actively oppose religious claims as part of the beliefs people have the right to have or a simply reliability on the scientific method to assert provable and scientifically useful data?","I'm pretty sure it's just a bit of fun at this point, but I'm not 100 on that.",M,Are you that dense that you think referendums should be held yearly until you get the result you like?,"I was being sarcastic, but yeah.",W,Do you have Protect (from Conjurer) cross-classed then (since AST is your first healer)?,No. The conjurer is on my other healer.,M,"Is the issue of a takeover, partnership, or perhaps a new sponsorship deal?","A takeover, partnership, and sponsorship.",M,"Are Best Buy or Wal-Mart going to dedicate half of their store to Friday Night Magic, or to a prerelease every three months?","Walmart is going to be doing prerelease on Friday, so it'll probably be a pre release on Saturday.",W,Do you really think that kids only learn about sex from their parents?,"No, I'm not saying that. I'm saying that if a parent tells their kid, he should be able to understand.",M,Do you *really* think one needs to sacrifice the (admittedly-small-but-not-zero) performance offered by dual-channel memory operation in order to protect a near-zero likelihood of using a 64GB memory upgrade path?,I'm not sure. I don't know how the process works and that's a very large amount of work.,W,Do you want to read fiction or nonfiction?,I want to read anything!,M,Did you really think that NATO/EU expansionism up to Russian borders would occur without some civilians dying?,"You are not wrong, but you can never count on a single person to be wrong.",M,Do *you* know the right altitude to jump out of an airplane when wearing what most people wear on airplanes?,I'm pretty sure you have to wear a helmet.,M,Does anybody have any ideas on what KEY components of a team that you NEED to retain long term for success as a team overall?,I believe that the key component is leadership,M,Did you watch the NBA playoffs?,He's probably a Celtics fan.
M,did you see the images of hooded man with sunglasses strapping the prosthetic on that amputee the cowboy helped?,I did!,W,Are you planning on any kind of training course?,No. I'm just going to be a normal person. Nothing special.,W,Did you want to put Top Gear on while we review our retirement portfolios?,I think I will go for a walk and just chill in the car.,M,Do you mean the Japanese immigrants who worked on the railroads?,The Japanese immigrants who worked on the railroads? I am pretty sure that was the French who worked on the railroads.,W,"Is your daughter also allergic to banana products, like banana bread?",I don't have a daughter...,W,Did you want to put Top Gear on while we review our retirement portfolios?,"I'm just gonna take this as a compliment, and go about my day.",W,Do you know why no amount of disputable studies on IQ will ever affect my own self worth as a woman?,"Because it's not a measure of intelligence, it's a measure of emotional maturity.",W,Do you have any photos of him?,I do not. I have a picture of him on my phone though. It's not a good picture.,W,Are you okay with that dynamic?,I'm fine with it.,W,Did you not have some basic research skills course in high school at least?,I was a pre med student.,M,"Is anyone trying to put them, Juvenile, or Mystikal in a Top 10?","I'm not sure I know anyone who has a decent amount of experience with them, so I'll be sure to ask.",W,"Is Tyrion a weak, poorly written character?",Yes. Yes he is.
M,Is your Colorado Rockies concept intentionally based on the NHL team that played from 1976 to 1982 (before becoming the New Jersey Devils)?,Haha I was thinking the same thing. They were the Colorado Rockies.,W,"Do you guys like when girls like, fondle your balls when giving hand/blowjobs?",I like it. It's not a good way to get a girl to do it.,M,Should I get a i5 4690k or wait to see what Skylake has to offer?,"The 4690k has been out for quite some time, you should be able to find one for about 50.",M,does being a fascist mod preclude you from swearing?,I don't believe so.,W,Do you think thats what Quaithes prophecy is really about or do you think that Dany will be misunderstanding it?,"That's what it means, and it's a pretty good guess.",W,Did you know that the slow-mo theme is based on a Justin Beiber song slowed down?,It's a great song,M,Do you think the rules forbid breathing?,"Yes, because breathing is prohibited.",M,Is Toews worth a first + a good/decent prospect (through trade) **plus** two $5 million players?,I don't even know what that means.,M,Are the first words out of your mouth you shouldnt have been going so fast?,"No, he was going at an incredible speed",W,Do people really feel its a racial law?,"No, but there's nothing wrong with using it. I personally have no problem with it either.",M,Are the Knicks going to be a good team next year?,I think they'll be a good team this season.,M,Should I drop my current full-body program and train only upper body for a month or two?,I'd say go for it.
W,Are you sure you werent dating my ex?,"Haha, no. I've been dating a lot of people, and I've been married for a while.",W,Do you have any data from NZ that shows the percentage of women with children who work?,"That's a pretty big statistic, and it's not something that's easily found.",W,Do you want to come over and make out on my couch?,Yes! Where's the best place to put my cat?,W,Is any of that going to change in the next 2 years?,I'm sure that the people of the US are not happy with our current situation.,W,Do you really want to bring children into the mix with this?,I want them to be able to use the internet and be able to read the news on their phones.,M,Do you think your company will/can consistently improve their stock price?,I don't have a good understanding of what stock price is and what it should be. I'm not a stock analyst or anything.,W,Do you have lingering side effects of your time you spent using?,"I have no side effects, I am just really bad at using the internet.",W,Do you come to events like these often?,I do!,M,Did I say drugs are victimless?,"Yes, yes you did.",M,Are you saying that just because the Native Americans got fucked over (by being taken out of the stone age) 2 centuries ago that modern Americans should tolerate major upticks in crime?,"No, I'm saying that the people who had reservations had no reason to be upset.",M,Do you want a 5 litre BMW V12?,"I'd be interested in a V12 M5, but the 5L is a little too big.",M,Shouldnt I be able to change my own spark plugs?,I think you have to go to a dealer first
