	op_id	op_gender	post_id	q	is_qy	q_score	oov
74413	62514781	W	74413	Que los hizo a ellos sobresalir?	False	2.572158042113415e-10	False
83960	30328617	W	83960	What is your strongest and weakest body part?	False	5.449694029380225e-10	False
74853	62514781	W	74853	"Arthur Ashe contestó:   50 Millones de niños comenzaron a jugar al tenis,   5 Millones aprendieron a jugar al tenis,   500 000 Aprendieron Tenis Profesional,   50 Mil llegaron al circuito,   5 Mil alcanzaron Grandslam,   50 Llegaron a Wimbledon,   4 Llegaron a la semifinal,   2 Llegaron a la final y   Cuando estaba celebrando la victoria con la copa en la mano,   Nunca le pregunté a Dios "" ¿Por qué a mi?"	False	6.003799679632493e-10	False
84186	30328617	W	84186	I pushed it hard, so I know I'll be feeling it tomorrow...   What did you train, and how do you plan on finishing the week strong?!?	False	1.644236968800783e-09	False
83994	30328617	W	83994	I'm 4 weeks out from THE WBFF London Pro-Am... Time to dial it in?!?	False	5.2234692127228755e-09	False
84214	30328617	W	84214	How is your training going?!?	False	7.955862302289063e-09	False
84116	30328617	W	84116	What are you training this week?!?	False	8.445006138835254e-09	False
84219	30328617	W	84219	Insane pump and not looking forward to my bike ride home...  What have you done today to make sure you wake up stronger tomorrow?!?	False	1.0507741454723885e-08	False
84273	30328617	W	84273	What are you planning for this weekend?	False	1.3702446954866332e-08	False
83929	30328617	W	83929	I'm a bit gutted I'm coming to the end of this current training plan as I'm LOVING hitting these cluster sets: I was joined today at City Athletic Performance Gym by one of TVs newest heart throbs (lol)... can anyone guess who it was?!?	False	1.5031046629587763e-08	False
84095	30328617	W	84095	With only 5 weeks until a shoot at Bodybuilding.com HQ in boise, I'm making sure I am putting some work in to be as camera ready as possible... ;)  What are you training for at the moment?!?	False	1.6792413126687222e-08	False
38933	92735495	W	38933	Why not?	False	1.7569210197798668e-08	False
67224	66833072	W	67224	Have police made a break in the case?	False	1.9257734851230168e-08	False
84070	30328617	W	84070	My legs are seriously on fire from todays workout: not sure the bike ride home will be much fun today, but glad I got stuck in early in the week...  How did you kick off your week's training?	False	2.142337152122309e-08	False
75284	62514781	W	75284	¿Que tienes que hacer?	False	2.149466338252637e-08	False
63911	66833072	W	63911	"Is the response of this mother in what some describe as ""road rage"" worse than him cutting her off?"	True	2.4676200971462947e-08	False
64165	66833072	W	64165	**Questions**  If there was a struggle at the police car, why was Michael allegedly shot as he ran away multiple times?	False	2.512141006327795e-08	False
63917	66833072	W	63917	"Join the conversation, I'm LIVE on HLN now...  A traffic stop gone horribly wrong, new pictures have emerged of ""Django actress' make out session with her boyfriend, and why is Joan Rivers' doctor potentially in hot water?"	False	3.345306542890114e-08	False
130290	82700793	W	130290	Besides, who couldn't use a little prayer when someone offers??	False	3.46194192202276e-08	False
84268	30328617	W	84268	What does #TrueStrength mean for you?	False	3.970601314406963e-08	False
84249	30328617	W	84249	Are you guys training hard this week?!?	True	4.0519067101563166e-08	False
