Who the fuck demands their partner lose weight by a specific deadline?	You have to ask?
How would you feel if you dated a guy for a *significant* period of time and then have your best friend date him?	I'd feel like a loser, he'd be a loser, he'd be a loser, he'd be a loser, he'd be a loser
How would I tell my family?	How would I tell my family?
What ideology did you assume I was?	The best one!
Who cares what you friends think?	I don't care what you friends think.
How is your relationship with your mom?	She's a great lady. I'm not too sure what she's doing with her life, but I do love her.
How many times have you bought a game on Steam during a sale and been *completely unable* to download it?	A lot. I've even bought a game twice.
How about the Sjah of Iran, who was a despot and a dictator who ruled with an iron fist, jailed opposition leaders, shut down free press and whose secret service was infamous for its torture techniques?	I'm sure that's what the Russians were thinking too.
What states did Bernie *actually* win, in your opinion?	I have no idea what state he actually won, but I'm pretty sure he won Vermont.
What more are you getting for the additional money than the people who paid $50 for the same show?	I have no idea what I'm getting in terms of a show.
How is the relationship with your parents now?	They are still friends but it is just one of those things that you just don't want to talk about. They are still pretty distant from each other.
How do you both divide up middle of the night feedings and changing?	I just use google sheets.
What if I could prove to you beyond the shadow of a doubt, with tons of evidence that nobody involved has even attempted to defend themselves against, that Hillary and the DNC rigged the 2016 primaries in favor of Hillary Clinton, giving Bernie Sanders no chance to win the nomination?	I'm not sure I understand why that would be a good thing, but whatever you say.
What if you dont have friends or family to turn too, and counselling isnt covered by your medical?	I have a lot of family and friends, so I don't need to go to therapy.
When did being rude and tearing people down become an admirable character trait?	It's a character trait.
How does a person not know the name of their spouses deceased spouse?	I'm not sure, but I would imagine that it's a common name among people living in the same country.
What free content do you think /DRIVE will still have that will be good enough to really get the general public going?	I'm not sure. I think it's probably a good idea to ask the devs.
How about we push X plan off to next saturday instead of tomorrow?	I'm not sure how to push it off. : s
What about researching a market, developing a plan, seeking out investors, building capital, creating a manufacturing process and a supply chain, developing a marketing program, finding a distribution channel and delivering product?	That's a lot of work.
What if you guys have a pregnancy scare?	I'm going to go with no.
How many times have you bought a game on Steam during a sale and been *completely unable* to download it?	I've bought a few games on steam. I have not bought anything on steam.
However, I guess with the lack of promotion/relegation in those sports and leagues are the reason why?	I don't know, but I would guess that they are the reason.
What is your opinion on his position that how a person chooses to spend their money being indistinguishable from speech?	I'm not an economist, I don't really have one, but I think it's a matter of perspective. I would think he should be paid for speaking, not for doing it.
What area of NY do you live in?	I live in the Bronx
How has the EU withstood the financial crisis better that China or the U.S.?	China and the U. S. have been doing just fine.
How do you think the pacers managed to be top 10 in defense last year with so many people missing?	I'm not sure, but I think it might be because they had the best offensive player in the league.
Whats the point of driving the same season over and over?	I guess to have the same car for each season.
How does the word literally help?	Literally means figuratively.
What the fuck did you just fucking say about me, you little bitch?	You're the one that said that I was the best, not you.
Whats a solid upper-mid quad core from team red?	That's what I use.
What do you think happens to those poorly taught obese children?	They die.
How does a tax-adjusted cap help the players?	It doesn't, it's just a bonus in the sense that you can't have more than 2 players on your team.
Whats wrong with one person contributing more?	I think the point is that there are many people who contribute more, but the average person doesn't contribute more than 50 of the time.
What is at the core of our state really?	I think it's a lot more than a core.
How about absolutely, irretrievably denying someone access to their commander?	I think that's a better idea.
How many owners would be willing to take on Rudy Gays salary?	I would take his salary.
